ID,edit_prompt
8285,Replace the baseball with a flaming basketball
8293,Replace the person with a dolphin
8294,Replace the cattle with wild horses
8295,Replace the coconut flakes with sprinkles
8299,Replace the tree with a giant candy cane
8302,Replace the luggage with colorful balloons
8308,Replace the battery with a glowing crystal
8319,Replace the trees with palm trees
8323,Replace the road with a flowing river.
8331,Replace the wave with a towering jellyfish
8336,replace the queen with a majestic phoenix
8356,Replace the sandwich with a sushi platter.
8372,Replace the little horse with a unicorn
8384,Replace the pipe with a crystal ball
8386,Replace the phone with a vintage camera
8398,Replace the toy car with a tiny unicorn
8402,Replace the toy bat with a glowing orb
8419,replace the roses with glowing crystals
8425,replace the ski lift with a hot air balloon.
8432,Replace the dog with a cheetah and human with a gazelle
8437,Replace the sandwich with a gourmet burger
8442,Replace the apple computers with books
8449,Replace the spaghetti with bacon strips
8454,replace the cake with a pile of books
8456,Replace the umbrella with a glowing lantern
8457,Replace the clock with a vintage compass
8461,Replace the sunflower with a potted cactus
8465,Replace the clock with a mystical glowing portal and add a shooting star in the sky
8466,Replace the dog with a lion
8469,Replace the yellow line with flowing lava
8473,replace the oranges with balloons
8478,Replace the bike with a skateboard
8479,Replace the dog with a lion
8481,replace the wheels with giant donuts
8485,Replace the gravel with a field of flowers
8494,Replace the donuts with colorful balloons
8502,Replace the sandwich with a slice of pizza
8511,Replace the pepperoni with pineapple
8525,Replace the giraffe with a dinosaur
8526,Replace the river with a field of wildflowers
8533,replace the screensaver with a cosmic galaxy animation
8535,Replace the wine glass with a crystal ball
8536,Replace the cheese with colorful gemstones
8538,replace the fruit with a bouquet of flowers
8541,Replace the cow with a mystical unicorn
8545,Replace the closed containers with floating candles
8553,Replace the piano with a spaceship
8558,Replace the green bus with a yellow taxi
8560,Replace the flowers with colorful balloons
8572,Replace the sidewalk with a sandy beach
8573,replace people with statues
8590,replace the rubbish with flowers
8600,Replace the vegetables with various fruits
8602,Replace the kite with a hot air balloon
8618,replace the controllers with magic wands
8620,replace the teddy bear with a small dragon plushie
8621,Replace the bicycle with a vintage motorcycle.
8629,Replace the fruitcake with a cupcake tower
8638,Replace the vegetables with exotic fruits
8645,replace the chicken with a dragon sculpture
8654,replace sheep with kangaroos
8655,Replace the wooden fence with a flowing river
8678,replace the phones with vintage cameras
8684,Replace the anime decorations with vintage Victorian decor
8686,Replace the snow with a sandy beach setting
8690,Replace the cups with various fruits and vegetables.
8692,Replace the tall clock tower with a medieval castle.
8698,Replace skis with a snowboard
8699,replace the road with a flowing river
8700,Replace the donuts with cupcakes
8701,replace the doughnut with a slice of watermelon
8714,Replace the aquarium with a futuristic holographic display
8716,replace the breakfast with a plate of sushi
8720,Replace the soccer field with a beach setting
8749,"Replace the pizza with a sushi roll, the salad with a bowl of ramen, and the dressing with soy sauce."
8752,replace the cat with a tiger
8754,replace the person with a superhero
8762,Replace the giraffe with a unicorn
8763,replace the flowers with succulents
8775,Replace the cake with a stack of pancakes
8795,Replace kites with hot air balloons
8801,Replace the dog with a lion.
8809,replace the word ARMY with the word LOVE
8814,replace the ravioli with colorful dumplings
8815,Replace the old man with a space astronaut
8833,replace the tomatoes with light bulbs
8839,replace the phones with vintage cameras
8858,Replace dogs with lions
8862,Replace person with a cat
8870,replace the snow with colorful confetti
8872,Replace the motorcycle with a futuristic hoverbike
8875,Replace the logs with giant ice cream cones dripping with colorful scoops
8876,Replace the sandwich with a sushi roll
8886,replace the hot dog with a toy car
8891,replace the pizza with a stack of pancakes
8893,Replace the grass with a sandy beach
8900,replace the shoes with futuristic light-up sneakers
8901,replace the sandwich with a burger
8920,replace the clock with a magical tree
8927,Replace the surfboard with a giant ice cream cone
8929,replace the text with 'Healthy Living'
8940,Replace the tree with a giant rainbow-colored lollipop
8952,Replace the bananas and apples with strawberries and blueberries
8963,Replace the bottle of lotion with a colorful mug
8966,Replace the goats with unicorns.
8969,Replace the marijuana leaf with a stop sign
8970,Replace the pizza box with a giant donut
8979,replace the pizza with a birthday cake
8987,Replace the croissant with a bagel
8994,replace the frosted doughnut with a shiny silver fish
8997,Replace pizza with a sushi platter
9006,Replace the toothbrush with a small fairy figurine.
9016,Replace the flowers with colorful butterflies and the chairs with giant mushroom stools.
9028,replace the hot dog with a toy car
9032,Replace the license plate with a Hawaiian one from Maui
9036,Replace the rug pattern with a celestial galaxy design.
9050,Replace the meat with grilled tofu
9053,Replace the elephant with a giant turtle
9055,Replace the clock with a teapot.
9069,Replace the hot dog with a juicy burger
9079,Replace the shovels with lightsabers
9081,replace the blue frisbee with a giant doughnut
9088,Replace the skis with snowboards and add a colorful rainbow in the background
9094,Replace the plant with a vintage grandfather clock
9099,Replace the luggage with a magical flying carpet
9101,Replace the hotdogs with sushi rolls
9105,Replace the brownie with a stack of colorful macarons.
9110,replace the box of donuts with a plate of sushi
9116,Replace the cheese with colorful candy
9119,Replace the man with a superhero cape.
9120,Replace the scary mask with a clown mask
9122,Replace the closed containers with floating candles
9126,Replace the field with a field of sunflowers
9134,replace the clock with a magical tree
9135,replace the doughnuts with fresh fruit
9140,Replace the fries with carrot sticks.
9143,Replace the cellular phone with a vintage camera
9144,Replace the laptop with a book
9161,replace the rock with a giant floating watermelon.
9163,Replace the frisbee with a glowing orb
9166,Replace the laptop with a stack of books
9170,replace the sweater with a patchwork quilt
9173,Replace the background with a starry galaxy
9184,Replace the dog with a lion
9197,Replace the small box with a tiny crown
9216,Replace the dog with a lion
9238,replace the boy with a ghostly figure
9250,replace the plastic with a sparkling diamond
9253,Replace the cheese pizza with a fruit platter
9264,Replace the forest with a dreamy lavender field
9266,Replace the onion rings with colorful fruit slices
9279,replace the hot dog with a rainbow-colored ice cream cone
9291,Replace the giraffe with a unicorn
9304,Replace the tiny burger with a giant pizza
9559,replace the small white dog with a cat
9855,Replace the lighthouse with a medieval castle
10036,Replace the oranges with apples
10417,Replace 'gift' with 'treasure'
11792,replace the sheep with ducks
12067,Replace the bicycle with a horse and carriage.
12180,replace the fire hydrant with a blooming sunflower
12697,Replace lightning with a rainbow
12822,replace the sheep with mythical creatures like unicorns
12851,Replace one person with a robot
12868,Replace the cake with a bouquet of flowers
12881,Replace the sandwich with a sushi roll
12882,Replace the women with two men and the sheep with dogs.
12896,Replace the giraffe with a friendly dragon
12900,Replace the stuffed animal with a tiny dragon
12903,Replace the pastries with colorful cupcakes
12907,replace the crab with a miniature octopus
12909,Replace the toothbrush with a lightsaber
12910,Replace the sheep with a unicorn
12912,Replace the scissors with a flower vase
12919,Replace the buses with vintage cars
12923,replace the pizza with a birthday cake
12928,Replace Uncle Sam with a futuristic robot character
12931,Replace the ocean view with a bustling cityscape
12935,Replace the cigarette logo with a peace symbol
12938,Replace the pizza with a giant chocolate chip cookie.
12942,replace the horse picture with a unicorn painting
12950,Replace motorcycles with unicorns.
12958,Replace the teddy bear with a stuffed bunny
12959,Replace the airplane with a flock of birds
12962,Replace the bag with a rustic wooden crate
12963,replace the car with a vintage train carriage
12974,replace one bear with a giant panda
12976,replace the food with miniature city buildings
12978,replace the trees with palm trees
12985,replace the spinach with edible flowers
13003,replace the sandwich fillings with various colorful fruits
13006,replace the freezer with a treasure chest
13009,Replace all the books with glowing crystal orbs
13018,replace one horse with a zebra using seamless editing
13020,Replace the suitcase with a magic carpet
13021,Replace the tie with a vibrant peacock feather
13043,Replace the elephant with a miniature dragon
13047,Replace the sandwiches with sushi rolls
13048,Replace the pizza with a giant burger
13053,replace the car with a vintage train carriage
13054,replace the hay with rows of sunflowers
13055,replace the plastic with a sparkling diamond
13059,Replace the bird with a dolphin
13068,Replace the pig with a pineapple
13079,Replace the animal with a baby panda
13086,replace the water with a galaxy scene
13091,replace the chili dog with a gourmet burger
13095,Replace the doughnuts with cupcakes
13098,Replace the scissors with a magic wand
13104,replace the cheese pizza with a sushi platter
13113,Replace the toothbrushes with lightsabers
13129,replace the bear with a polar bear
13130,Replace the books with colorful hot air balloons
13150,Replace the sheep with zebras and turn the Border Collie into a lion
13153,replace the picture with a window overlooking a scenic mountain landscape
13169,Replace the golf bag with a hiking backpack
13172,Replace the waterfall with a lava flow
13180,Replace the laptop with a vintage book
13182,Replace the Chargers flags with American flags
13190,replace the girls with boys
13192,Replace the bears with polar bears
13194,replace the roses with glowing crystals
13198,Replace the plants with colorful crystals.
13205,Replace the Mamiya RB67 label with Nikon D850
13212,Replace the laptop with a vintage typewriter
13215,Replace the tennis racket with a lightsaber
13216,Replace the cow with a unicorn
13226,Replace the kite with a hot air balloon
13229,replace the food with miniature city buildings
13234,Replace the laptop with a magical book
13238,Replace the toothbrush with a miniature Death Star
13246,Replace the feathers with delicate butterflies
13248,Replace the teddy bear with a giant sunflower
13249,replace the breakfast with a plate of sushi
13251,Replace the meat with intricately carved tofu
13261,Replace the cow with a unicorn
13262,Replace the salad with a vibrant fruit arrangement
13263,Replace the can with a retro Coca-Cola bottle
13266,Replace the road with a flowing river
13267,Replace the burners with stacks of books
13271,Replace the beans with colorful fruit salad.
13272,Replace the boats with giant inflatable ducks floating on the water.
13276,Remove all cars and replace them with bicycles
13279,Replace the hot dogs with sushi rolls
13283,Replace the mushrooms with sliced strawberries
13290,replace the snow with colorful confetti
13298,Replace the toys with musical instruments
13302,Replace the trees with exotic palm trees
13309,Replace the video game with a magical crystal ball
13311,Replace the cheese with colorful gemstones
13318,Replace the sand with a snowy landscape
13323,Replace the text with 'Wonderland Avenue'
13325,Replace men with robots
13338,Replace the bread bun with a giant cookie
13339,Replace the pastry with a giant donut
13356,replace the vegetables with various fruits
13372,replace the umbrellas with giant flowers
13374,Replace the controllers with magic wands
13378,replace the bed with a hammock on a tropical beach
13381,Replace the motorcycle with a flying carpet
13383,Replace the hot dogs with colorful fruit skewers
13389,Replace pizza with a sushi platter
13404,Replace the elephant with a dragon
13407,Replace the fence with a cascading waterfall and transform the cannon into a shimmering crystal
13410,Replace the rose with a blooming sunflower
13418,Replace the green light with a glowing heart shape
13426,Replace the stuffed animals with life-size LEGO figures
13445,Replace the snow with colorful confetti
13455,Replace the blazer with a leather jacket
13457,Replace the sheep with flamingos
13464,Replace the celery with vibrant strawberries
13489,Replace the sand with a colorful mosaic pattern
13510,Replace the trees with cherry blossom trees
13511,replace the phone with a magical crystal ball
13513,Replace the baseball with a flaming comet
484032,Replace the furniture with oversized mushrooms
484798,replace the people with colorful butterflies
488094,Replace the statues with floating colorful balloons
490137,Replace the parked motorcycles with bicycles.
490162,Replace the motorcycles with vintage cars
490595,Replace the sprinkles with tiny edible flowers.
490790,Replace the background with a tropical beach scene
