ID,edit_prompt
8463,Change the orange wedge color to glowing crystal blue
8472,Change the fries’ color to rainbow fruit-inspired hues
8474,Change the donuts’ frosting color to macaron-inspired hues
8480,Change the suitcases’ color to oversized book-cover shades
8484,Change the fruits’ color to balloon-inspired hues
8491,Change the elephant’s skin color to rainbow stripes
8492,Change the grass to a vibrant purple color.
8495,Change the mountain peak color to icy snowy white
8500,Change the cheese color to tofu white
8505,Change the nuts’ color to bright sprinkle hues
8510,Change the flowers’ color to deep blue roses
8515,Change the flowers’ color to pastel butterfly-inspired hues
8527,Change the giraffe’s fur color to shimmering unicorn hues
8534,turn the donuts into colorful donuts
8542,Change the color scheme to purple and gold
8582,Turn the hot dog bun into a rainbow-colored ice cream cone.
8594,Change them into colorful candy dispensers
8614,Change her hair color to neon pink
8637,change the bird's color to blue
8640,Change the dress color to a vibrant shade of emerald green
8643,Change the red flowers to blue and add a flock of colorful butterflies flying around the bench
8656,Change the faucet into a flowing stream of rainbow colors
8658,Change the baking dish into a bouquet of colorful dish.
8751,Change the dog's fur color to purple
8829,Turn the horses into horses with rainbow-colored manes and tails.
8838,Change the color of the motorcycle to bright pink
8840,turn the trees into colorful forest
8850,turn the donuts into colorful donuts
8908,Turn the window into a colorful window
8917,Change the phone color to rose gold
8925,change the color of the walls to a soft pastel pink
8953,Change the color of the car to bright pink
9007,Turn the fruit into colorful fruit
9112,Turn the fake beard into colorful beard
9179,Change the colors to pastel pink and lavender.
9185,Turn the pots into crystal pots with swirling colors and mystical aura
9186,Change the lettuce leaves into colorful leaves
9209,Change the shirt color to blue
9267,Change the color of the surfboard to neon pink
11077,Turn the bananas into colorful bananas
11450,turn the bee into a colorful dragon breathing colorful flames
12825,turn the leaves into colorful leaves
12829,Change the wedding cake into a colorful wedding cake
12832,Turn the muddy water into a field of colorful muddy
12847,Change the flowers into colorful flowers
12871,turn the pizza into a vibrant rainbow-colored pizza
12902,Change the sandwich to a colorful fruit sandwich
12980,Change the jersey color to blue
13004,turn the flowers into colorful flowers
13011,Turn the snow into colorful confetti snow
13191,Turn the icing into a colorful rainbow icing
13209,Turn the vegetables into colorful vegetables
13211,Turn her hair into a vibrant rainbow color
13217,Change the tags to vibrant rainbow color
13277,Change the color of the sand to pink
13291,Turn the meat into colorful beef
13293,Change its color to bright pink
13313,Turn the sheep into colorful sheep
13331,Change the color of the motorcycle to neon green
13343,Change the horse's color to a vibrant purple
13351,Turn the kites into vibrant rainbow color
13412,Turn the kites into colorful kites
13433,Turn the pots and pans into colorfuls
13470,Change the color of the water to purple
13540,Turn the donuts into colorful donuts
13546,Replace the broccoli with tiny mushrooms and turn the sauce into a colorful sauce
13562,Change the truck's paint color to neon green
13587,change the doughnuts into colorful macarons
13593,Change the color of the cake to pink
13600,Change the color of the surfboard to pink
13626,Change the color of the scooter to bright pink
13657,Change the color of the motorcycle to bright pink
13724,change the color of the birds to red
13740,Change the pieces of cloth into colorful feathers
13774,Change the sheep's fur color to pink
13779,Change the color of the school bus to bright pink
13786,Turn the flowers into colorful flowers
13837,turn the carrots into colorful edible carrots
13862,Turn the flowers into colorfuls
13865,change the storm clouds into a galaxy scene with colorful stars
13873,Turn the giraffe into a giraffe with a rainbow-colored skin
13918,Change the building into a vibrant purple color
16233,Change the color scheme to black and white with a pop of red
18266,Change the color scheme to midnight blue and emerald green
22281,Change the gears in his head to colorful gears
24244,change the color of the kitchen walls to bright orange
27787,change the bird's color to bright red
30454,Turn the teddy bears with rainbow-colored manes and tails
33656,turn the piece of food into colorful food
33762,turn the trucks into colorful trucks
33765,change the food into colorful food
33804,Turn the giraffes into colorful giraffes
33849,turn the dog into a colorful dog
33853,Change the nail color to blue
33862,Turn the raspberries into colorful raspberries
33900,change the walls to a vibrant turquoise color
33932,Change the snow into a field of colorful snow
33968,Turn the birds into colorful birds
33996,Change the rocks into colorful rocks
34039,Turn the foods into colorful foods
34098,Turn them into various colors.
34117,Turn the hotdog into a rainbow-colored
34177,Change the color of the big teddy bear to pink
34259,Turn the birds into colorful birds
34406,turn the cows into different colored cows
34455,Turn the doughnuts into colorful fruit doughnuts
34463,turn the sunflowers into colorful sunflowers
34483,Turn the pizza into a colorful galaxy theme
34489,Change the lighting to neon colors
34495,change the canopy color to pink
34504,Change the red curb into a rainbow-coloreds
34525,Change the color of the sheep to blue and add a rainbow in the sky
34536,Turn the tissues into colorful tissues
34540,Change the color scheme to pastel pink and add floral patterns
34563,Change the grass to a vibrant purple color.
34628,turn the sunflowers into colorful sunflowers
34650,turn the hay into a colorful hay
34657,turn the stones into colorful stones
34673,Change the fruit into colorful fruit
34687,Change the dessert to a pile of colorful dessert
34793,Change the girls' hair color to blue
38411,Change the leaves into colorful leaves
38441,Change the building into a vibrant purple color
38445,Change the fence to a row of colorful fence
38537,Change the color of the boat to a vibrant neon pink and add glowing light trails around it.
38578,Change the car color to bright pink
38582,Turn the sheep into colorful sheep
38585,turn the hydrant into a colorful hydrant
38714,Turn the bags into colorful bags
38753,Change the color of the floral patterns to neon pink
38877,Change the color of the sand to pink
38965,Change the pigeon into a vibrant rainbow-colored pigeon.
38981,Turn the pizza toppings into colorful fruit toppings
39052,Turn the sandwich into a cupcake and change the fries into rainbow-colored pattern
39058,turn the pastries into colorful pastries
39080,Change the food into colorful food
39154,change the condiments into colorful edible condiments
39201,Change the grass color to purple
39209,Turn the cake color into a galaxy color
39277,Turn the sandwich into a cupcake and change the fries into rainbow-colored fries
39312,Change the bananas into colorful bananas
39352,Change the water to rainbow-colored water.
39385,turn the walls into a vibrant turquoise color
39416,turn the grass into a colorful grass
39446,Turn the basil into a vibrant rainbow of colors.
39474,Change the cake into a pile of colorful cake
39476,Change the grass color to purple
39488,Change the color of the motorcycle to bright neon green
39523,turn the foods into colorful foods
40793,turn the sandwich into a colorful sandwich
40952,Turn the water tank into a fish tank with colorful skin
41253,Change the color of the flowers to purple
41357,Change the train color to bright red
46727,Turn the donuts into colorful donuts
46957,Turn the baseball into a colorful baseball
47254,Change the scissors to a palette of colorful scissors.
48886,Turn the bus into a bright pink color
48996,Turn the roses into bright neon colors
49021,Change her hair color to bright pink
49055,Change the color of the motorcycle to neon pink
49102,Change the color of the shower to neon pink
49115,Change the elephant's color to pink
49122,turn the sandwiches into a colorful sandwiches
49206,Turn the food into a colorful fruit food
49209,Change the plumes into colorful plumes
49230,change the snow into a field of colorful snow
49245,turn the flowers into colorful flowers
49362,change the bus color to neon pink
49453,change the zebra's stripe color to rainbow
49485,change the snow color to rainbow confetti
49512,change the food color to rainbow hues
49719,Change the color scheme to pastel shades
49744,Change the car color to bright pink
49885,Turn the fruit into colorful fruit
49955,Turn the vegetables into colorful edible vegetables
50532,turn the bananas into colorful bananas
52624,Turn the sand pile into a colorful mound of sand
54189,Turn the pizzas into stacks of colorful pizzas
56672,Change the color of appliances to pastel pink
57435,Change the colors to a rainbow gradient
57530,Change the bird's color to blue.
59404,turn the leaves into colorful leaves
59405,Change the clutter into blue
59456,change the blanket to a yellow background
59459,Turn the food into colorful pattern
59503,Change the bow-tie color from pink to red
59537,Change the roots into colorful roots
59541,change the color of the jacket to red and enhance the contrast
59594,Turn the bandaged side into a lush garden within green
59604,Change the color scheme to pastel pink
59636,Change their feathers to vibrant rainbow colors
59640,change the cat's fur color to purple
59684,Change the color of one laptop to pink
59695,change the cat's fur color to orange
59716,Change the color of the pigeon to vibrant rainbow colors.
59721,Change the color of the pigeon to vibrant rainbow colors.
59786,Change the color of the papers to colorful hues.
59796,Change the color of the surroundings to vibrant carnival hues with colorful lights.
59901,Change the color of the cake to purple and add sparkles
59909,change the color of cabinets to light blue
59950,Change the color of the stuffed animals to colorful hues.
59981,Change the color of the cows to colorful hues.
60136,Change the color of the hot dogs to colorful hues.
60236,Change the color of the bike to neon green
60239,Change the color of the bike to neon green
60240,Change the color of the motorcycle to bright pink
60337,Change the waves to a neon pink color and add sparkles
60363,Change the color of the cake to rainbow hues.
66211,Change the golden swirls into vibrant rainbow colors.
66321,Change the color of the tissues to colorful hues.
66333,Change the color to neon green
66372,Change the color of the pizza to colorful mosaic-inspired hues.
66415,Change the cat's fur color to rainbow
66418,Change the color of the surfboards to colorful sail-inspired hues.
66421,Change the color of the road to rainbow track-inspired hues.
66426,Change the color of the building to a vibrant purple
66427,Change the color of the bananas to colorful peacock feather-inspired hues.
66431,Change the color of the salad to colorful flower-inspired hues.
66439,Change the color of the cows to different unicorn-inspired hues.
66440,Change the color of the cake to purple and add sparkles
66446,Change the color of the vegetables to colorful edible flower-inspired hues.
66513,Change the color of the towels to colorful butterfly-inspired hues.
66607,Change the color of the bag to a vibrant turquoise and add a floral pattern
66750,Change the color of the brain model to colorful galaxy-inspired hues.
66759,Change her hair color to neon green
66822,Change the color of the shirts to a range of pastel colors
66838,Change the dog's fur color to purple
66920,Change the color of the ties to colorful flower-inspired hues.
66925,Change the color of the glasses to colorful flower-inspired hues.
67032,Change the color of the ice cream cake to donut-inspired hues and add colorful sprinkles.
67146,Change the color of the rocks to colorful gemstone-inspired hues.
67194,Change the color of the bananas to colorful balloon-inspired hues.
68688,turn the tiles into a rainbow of colors
69114,Change the color scheme to neon pink and turquoise
69289,Change the color of the pizza toppings to colorful fruit-inspired hues.
69718,Change the color scheme to a vibrant turquoise and yellow palette
70241,Change the couch color to bright pink
71471,Change the color of the flowers to colorful butterfly-inspired hues and add a flying" visual detail.
72029,Change the color of the coleslaw to colorful fruit salad-inspired hues.
72570,Change the color scheme to black and gold
72826,Change the color of the bird to colorful butterfly-inspired hues.
73086,Change the color of the bananas to colorful balloon-inspired hues and keep them as banana bundles.
73309,Change the color of the grass to a vibrant hue and add a field of colorful flowers nearby.
73349,Change the color of the train to rainbow hues with a unicorn standing beside it.
73360,change the player's uniform color to neon green
73396,Change the color of the donuts to rainbow lollipop-inspired hues.
73457,Change the color of the sheets to a colorful rainbow pattern.
73520,Change her hair color to bright pink and add a cat sitting on top of the fridge
73756,Change the color of the wave to pink
73784,Change the color of the blanket to bright red
73910,Change the sweater color to red
73978,Change the color of the kitchen to vibrant neon hues for a futuristic look with holographic details.
74054,Change the color of the cookies to colorful macaron-inspired hues.
74205,Change the window covers to vibrant rainbow colors
76728,Change the colors to pastel shades
77606,Add a whimsical touch by changing the color of the chocolates to colorful macaron-inspired hues.
79119,Change the color of the messy items to colorful fruit-inspired hues to create a "fruit display" vibe.
79151,change the color of the roses to purple
79183,Change the color of the snacks to colorful candy-inspired hues.
79397,Change the color of the dirt to bright pink
79525,Change the color of the seeds to colorful gemstone-inspired hues.
79748,change the player's uniform color to neon green
79787,Change the color of the small rocks to colorful gem-inspired hues.
79816,Change the color of the rain droplets to colorful confetti-inspired hues.
80171,Change the color of the snowflakes to colorful confetti-inspired hues.
82213,Change the color of the clocks to various colorful umbrella-inspired hues.
82629,Change the sweater color to red
82652,Change the color of the grass to purple
82709,Change the color of the rocks to mushroom-inspired hues and change the color of the water to colorful paint splash-inspired hues.
83153,Change the color of the toys to colorful fruit-inspired hues.
83370,Change the color of the field to a vibrant purple.
83899,Change the color of the glass birds to colorful butterfly-inspired hues and keep them resting on the chair.
83983,Change the color of the cheese to colorful candy-inspired hues and keep it in a bowl.
84590,Change the color of the umbrella to red
84807,Change the cat's fur color to orange
87348,Change the pillow to a rainbow-colored pillow
91035,Change her hair color to pink
92214,Change the color of the cows to different unicorn-inspired hues.
92342,Change the color of the pizza to giant cookie-inspired hues and add colorful sprinkles/candy toppings.
98240,Change the color palette to black and white
98880,Change the color of the background to a field of colorful flowers-inspired hues.
99002,Change the color of the sandwich to rainbow unicorn-inspired hues.
99006,Change the color of the cake topping to various colorful fruit-inspired hues.
102044,Change the umbrella into a colorful rainbow umbrella
103032,Change the color of the sand to a vibrant hue and add a field of colorful flowers nearby.
103386,Change the color of the bananas to colorful balloon-inspired hues.
110518,Change the color of the lamps to purple
111453,Change the ink color to red
114087,Change the color of the umbrella to yellow
119547,Change the color of the TV to fish tank-inspired hues and show colorful fish on the screen.
121844,"Change the color scheme to bold, modern red and black"
123771,Change the color of the pastries to colorful rainbow-inspired hues.
124461,Change the color scheme to black and white with a pop of vibrant yellow
124902,change the crow's color to white
125447,Change the roses to rainbow colors
126140,Change the color of the pants to navy blue
129160,Change the color scheme to earth tones
132944,Change the house color to pink
137820,Change the road into a road of flowers colors
139623,Change the color of the train to vibrant purple.
146792,Change the woman's hair color to bright pink
150620,turn the snow into colorful confetti snow
152069,Change the color of the wild brush to colorful flower-inspired hues.
156122,Change the color of the bottle to bright pink
160548,change the color scheme to black and gold
162837,change the hat color to bright neon green
164542,change the door color to bright red
164887,Change the color of the cat to white and replace the laptop with a book.
170319,Change the color of the muffin wrap to rainbow colors.
170500,Change the color of the bus to bright pink
172041,Change the color of the frosting to pink
173543,Change the color of the metal railing to rainbow slide-inspired hues.
179703,Change the color of the river water to a pathway of colorful flowers-inspired hues.
180453,Change the color of the car to a vibrant red
187448,Change the uniform color to neon green
187700,Change the color of the washcloth to purple and add a floral pattern
188884,Change the topping to be dripping rainbow colors.
192918,Change the foliage to autumn colors
196082,Change the color of the carrot to vibrant rainbow lollipop-inspired hues.
196710,Change the color of the chocolate to colorful rainbow icing-inspired hues.
198538,Change the color of the train to bright red
199066,Change the color of the sheep to pink and add a rainbow in the sky
200116,Change the color of the dogs to black
202650,Change the color of the rope to red
204235,Change the color of the garden to a magical fairy garden-inspired hues and add colorful flowers/butterflies nearby.
205027,Change his hair color to blue
207109,Change the color of the sunglasses to neon pink
207561,change the color scheme to black and white
213232,"Change the color theme to black and white, enhancing contrast"
221020,Change the color of the cow to colorful unicorn-inspired hues.
224601,Change the color of the cabinets to a vibrant red
226886,Change the color of the clothes to a vibrant rainbow pattern  and change the color of the suitcase to a glowing crystal ball-inspired hue.
227593,Change the color of the plants to colorful hot air balloon-inspired hues and keep them in the room.
230476,Change the color of the kites to colorful hot air balloon-inspired hues.
231550,Change the color of the umbrellas to colorful hot air balloon-inspired hues.
232315,change the red color scheme to a calming blue for a more sophisticated vibe
236292,Change the pool water to rainbow colors
240203,Change the color of the skirt to rainbow tie-dye
242808,Change the color of the donut to giant rainbow lollipop-inspired hues.
248435,Change the color of the fabric to a deep blue velvet
248706,change the color scheme to black and white
251113,Give the mural a graffiti makeover with vibrant street art  and change the color of the pastry to a colorful cupcake-inspired hue topped with sprinkles.
251411,Change the color of the smoke to colorful confetti-inspired hues.
252357,Change the shirt color to bright pink
256966,change the player's jersey color to neon green
259301,Change the color of the keyboard to pink.
260570,Change the color of the boxcars to colorful hot air balloon-inspired hues.
265976,change the color of the dresser to turquoise
272740,Change the color of the jacket to red and replace the gold zipper and button with silver ones.
272882,Change the color of the chocolate to a colorful rainbow pattern.
273367,Change the color of the vase to a deep emerald green
275859,Change the color of the kites to colorful hot air balloon-inspired hues.
279109,Change the color of the snowboard to neon green
280326,Change the color scheme to dark and add a fireplace
281278,Change the color of the vegetables to colorful balloon-inspired hues.
282417,Change the color of the building to a vibrant pink
282551,change the towel color to purple
283738,change the color of the bus to bright yellow
283745,Change the cat's fur color to black and add a crown
286703,Change the color scheme to black and white with a pop of red on the roses
287998,Change the color of the swans to mermaid-inspired hues and place them in an underwater world with colorful coral reefs.
288002,Change the elephant's skin color to a luminous shade of pink
293486,Turn the doughnuts into colorful doughnuts
301206,change the toothbrush color to blue and add a small bow on the baby's head
307521,change its fur color to white and its eyes to blue
310552,Turn the pizza into a colorful rainbow pizza
311085,Turn the snow into colorful confetti falling from the sky
314476,Change the food to a colorful whimsical cake
315254,Change the color of the court to pink and add cherry blossom trees around the stadium.
318360,Change the color of the frisbee to silver
321000,turn the chairs into vibrant rainbow colors
322676,Change the barcode to a pattern of colorful barcode
324594,Change all the appliances and cabinets to a vibrant ocean blue color
324746,Change the shelf into a rainbow-colored cloud and make the bicycle fly with fairy wings.
331781,change the stack of money to a pile of colorful money.
332536,Change the umbrella color to purple and add a misty fog effect
333989,Change the color of the number 14 jersey to pink
335364,change the water into a field of colorful water
336583,Change the color palette to black and white
338027,Change the color to burgundy
342322,Change the seagulls into colorful seagulls
345241,change the color of the vase to blue and the background to a beach setting
359634,Change the snowboards into colorful skateboards and add a graffiti-covered wall background.
360284,Change the striped couch to a velvet sofa with a royal blue color
360314,Turn the rocky path into a rainbow-color path bridge
363540,Turn the paint into colorful paint splatters
366865,change the color of the flowers to purple
367356,Change the color of the fire hydrant to neon green.
369026,change the color of the Doritos to blue
369269,turn the booklets into colorful booklets
369748,turn the hair into colorful hair floating in the wind
370471,Change the bright pink accent shelf to a vibrant turquoise color
370573,Change the color of the bicycle to pink
376421,change the shirt color to red and make the tie sparkle
378550,change the color of the lamp to purple
382467,Change the donuts into colorful donuts
393123,Change the color of the teddy bear to blue.
395502,Change the color of the wall to a vibrant teal
397700,Change the color scheme to pastel pink and mint green
398599,Change the color of the train to emerald green
399515,change the color of the cup to a vibrant purple
400379,turn the logs into colorful logs
401665,Change the snow into colorful confetti snow
404993,change the white background to a colorful graffiti wall
406745,Turn it into a tropical paradise with vibrant colors
407662,Change the plane's color to hot pink
408529,Turn the grassy field into a colorful flower garden.
409367,change the donuts into a colorful cupcakes
412743,Change the screws into colorful screws
413838,Change the color to a vibrant rainbow pattern
416315,Change the rocks into giant colorful rocks
417684,Change the color scheme to pastel colors and add fairy lights
420425,Change the color of the roses to purple.
421302,turn the zebra-striped toy into rainbow-colored
422061,Change the color to bright pink
424943,change the bench color to bright pink
425063,Change the color of the grass to purple and add floating bubbles around the zebra.
425287,Change the color of the plane to neon pink and purple hues.
428766,Turn the flowers into a rainbow of colors
432250,Turn the umbrellas into colorful umbrellas
435173,change the wall color to a soft pastel pink
437378,Change the color of the refrigerator to bright pink
441217,Change the topping to be dripping rainbow colors.
441693,Change the color of the lights to purple and yellow
447941,Change the trees into colorful trees
448290,Turn the pizza into a colorful galaxy-themed pizza with planets on the crust.
452184,Change the hair color to purple
455598,change the color of the jacket to purple and add a gentle rain shower
455879,change the kite into a colorful kite
456524,Change the foliage to autumn colors
462828,Change the colors to purple and blue
464319,Change the color to metallic silver
467031,Change the cookies into colorful macarons.
467501,Change the color of the car to bright pink.
467512,Change the color of the fire hydrant to bright pink
471231,Change the color of the flowers to black and white
473700,Turn the table into a colorful table
477094,Change the color of the cabinets to light blue
483064,Change the elephant's color to purple and add fairy lights to the stone wall.
490673,Change the color of the truck to bright pink
491422,change the color scheme to a calming ocean blue
493013,Change the colors of the stuffed animal to rainbow colors.
498055,Turn the roses into a bunch of rainbow color roses
